agent_id,agent_type,final_trust_level,final_loss_sensitivity,dominant_trait,emotional_state,total_score,total_interactions,cooperation_rate,betrayals_experienced,mutual_cooperations,average_payoff,average_emotional_impact,trauma_count,recovery_progress,learned_heuristics_count,total_reasoning_steps,psychological_evolution_events
agent_000,emergent_bias,0.5,1.0,balanced,unknown,0.0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,0
agent_001,emergent_bias,0.5,1.0,balanced,unknown,0.0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,0
agent_002,emergent_bias,0.5,1.0,balanced,unknown,0.0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,0
agent_003,emergent_bias,0.5,1.0,balanced,unknown,0.0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,0
agent_004,emergent_bias,0.5,1.0,balanced,unknown,0.0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,0
agent_005,emergent_bias,0.5,1.0,balanced,unknown,0.0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,0
agent_006,emergent_bias,0.5,1.0,balanced,unknown,0.0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,0
agent_007,emergent_bias,0.5,1.0,balanced,unknown,0.0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,0
agent_008,emergent_bias,0.5,1.0,balanced,unknown,0.0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,0
agent_009,emergent_bias,0.5,1.0,balanced,unknown,0.0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,0
agent_010,emergent_bias,0.5,1.0,balanced,unknown,0.0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,0
agent_011,emergent_bias,0.5,1.0,balanced,unknown,0.0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,0
agent_012,emergent_bias,0.5,1.0,balanced,unknown,0.0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,0
agent_013,emergent_bias,0.5,1.0,balanced,unknown,0.0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,0
agent_014,emergent_bias,0.5,1.0,balanced,unknown,0.0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,0
agent_015,emergent_bias,0.5,1.0,balanced,unknown,0.0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,0
agent_016,emergent_bias,0.5,1.0,balanced,unknown,0.0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,0
agent_017,emergent_bias,0.5,1.0,balanced,unknown,0.0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,0
agent_018,emergent_bias,0.5,1.0,balanced,unknown,0.0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,0
agent_019,emergent_bias,0.5,1.0,balanced,unknown,0.0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,0
